rio address,io type,io channel,IO NAME,X1,Y1,X2,Y2
H1_TWET,AI,,1,0,800.00:18.00;1500.00:24.00,,
H1_TDRY,AI,,1,1,750.00:18.00;1208.00:25.00,,
H0_UV,AI,,1,2,506.00:0.00;1071.00:650.00,,
H3_TDRY,AI,,1,3,750.00:18.00;1200.00:25.00,,
H3_TWET,AI,,1,5,750.00:18.00;1200.00:25.00,,
H0_WSPD,AI,,2,0,360.00:0.00;4000.00:30.00,,
H0_WDIR,AI,,2,1,360.00:0.00;1800.00:360.00,,
H0_TWET,AI,,2,2,1900.00:0.40;2800.00:25.00,,
H0_TDRY,AI,,2,3,700.00:0.50;2300.00:27.00,,
H2_TDRY,AI,,2,5,600.00:3.00;711.00:23.00,,
UN_EC,AI,,3,0,383.00:0.20;477.00:1.60,,
UN_PH,AI,,3,1,950.00:6.00;1020.00:6.20,,
UN_ORP,AI,,3,2,33.00:0.00;440.00:329.00,,
UN_WT,AI,,3,3,0.00:24.00;1.00:28.00,,
UN_PH2,AI,,3,4,100.00:4.00;636.00:6.60,,
H4_TDRY,AI,,4,0,750.00:18.00;1200.00:25.00,,
PBR_T1,AI,,5,0,705.00:21.00;1275.00:36.40,,
PBR_T2,AI,,5,1,700.00:21.00;950.00:35.00,,
RFSSW_1,DI,,1,18,0.00:0.00;0.00:0.00,,
RFSSW_2,DI,,1,19,0.00:0.00;0.00:0.00,,
UN_WL5,DI,,1,21,0.00:0.00;0.00:0.00,,
UN_WL3,DI,,1,23,0.00:0.00;0.00:0.00,,
UN_WL1,DI,,1,24,0.00:0.00;0.00:0.00,,
UN_WL2,DI,,1,25,0.00:0.00;0.00:0.00,,
RFSSW_3,DI,,1,33,0.00:0.00;0.00:0.00,,
UN_WL4,DI,,1,36,0.00:0.00;0.00:0.00,,
RFSSW_5,DI,,1,43,0.00:0.00;0.00:0.00,,
RFSSW_4,DI,,1,44,0.00:0.00;0.00:0.00,,
OSM_WL,DI,Tags,3,20,0.00:0.00;0.00:0.00,,
PBR_SPARE_LEVEL,DI,,4,20,0.00:0.00;0.00:0.00,,
PBR_SANI_RUN,DI,,4,22,0.00:0.00;0.00:0.00,,
PBR_U1_FLOW,DI,,4,24,0.00:0.00;0.00:0.00,,
PBR_U3_FLOW,DI,,4,25,0.00:0.00;0.00:0.00,,
PBR_BIOM_LEVEL,DI,,5,25,0.00:0.00;0.00:0.00,,
RFSY1,DO,,1,0,0.00:0.00;0.00:0.00,,
RFSX1,DO,,1,1,0.00:0.00;0.00:0.00,,
RFSY2,DO,,1,2,0.00:0.00;0.00:0.00,,
RFSX2,DO,,1,3,0.00:0.00;0.00:0.00,,
RFSX4,DO,,1,7,0.00:0.00;0.00:0.00,,
UN_PMP3,DO,,1,10,0.00:0.00;0.00:0.00,,
NFTUP,DO,,1,11,0.00:0.00;0.00:0.00,,
COOLFAN,DO,,1,12,0.00:0.00;0.00:0.00,,
UN_PMP1,DO,,1,13,0.00:0.00;0.00:0.00,,
UN_PMP2,DO,,1,14,0.00:0.00;0.00:0.00,,
IRR_NTR,DO,,1,15,0.00:0.00;0.00:0.00,,
UN_PMP5,DO,,1,16,0.00:0.00;0.00:0.00,,
CO2,DO,,1,17,0.00:0.00;0.00:0.00,,
CNETFOG,DO,,2,0,0.00:0.00;0.00:0.00,,
Fogging,DO,,2,1,0.00:0.00;0.00:0.00,,
H1_WETPAD,DO,,2,5,0.00:0.00;0.00:0.00,,
H1_CURTAIN,DO,,2,8,0.00:0.00;0.00:0.00,,
H1_FAN3,DO,,2,9,0.00:0.00;0.00:0.00,,
CIRCULATORS,DO,,2,10,0.00:0.00;0.00:0.00,,
FACTORY_VENT,DO,,2,11,0.00:0.00;0.00:0.00,,
IRR_WTR,DO,,2,12,0.00:0.00;0.00:0.00,,
WETWALL,DO,,2,14,0.00:0.00;0.00:0.00,,
H1_FAN1,DO,,2,15,0.00:0.00;0.00:0.00,,
STIRER,DO,,2,16,0.00:0.00;0.00:0.00,,
H1_FAN2,DO,,2,17,0.00:0.00;0.00:0.00,,
IRR_SEC2,DO,,3,0,0.00:0.00;0.00:0.00,,
UN_PMP4,DO,,3,1,0.00:0.00;0.00:0.00,,
UN_BASE,DO,,3,5,0.00:0.00;0.00:0.00,,
UN_ORPMIX,DO,,3,6,0.00:0.00;0.00:0.00,,
UN_ACID,DO,,3,7,0.00:0.00;0.00:0.00,,
UN_VLV5,DO,,3,8,0.00:0.00;0.00:0.00,,
UN_ALFA1,DO,,3,9,0.00:0.00;0.00:0.00,,
UN_VLV2,DO,,3,10,0.00:0.00;0.00:0.00,,
UN_BETA1,DO,,3,11,0.00:0.00;0.00:0.00,,
UN_VLV3,DO,,3,12,0.00:0.00;0.00:0.00,,
UN_VLV1,DO,,3,13,0.00:0.00;0.00:0.00,,
UN_WATER,DO,,3,14,0.00:0.00;0.00:0.00,,
IRR_SEC1,DO,,3,15,0.00:0.00;0.00:0.00,,
COLCHIL,DO,,3,16,0.00:0.00;0.00:0.00,,
MAINBLOWER,DO,,3,17,0.00:0.00;0.00:0.00,,
PBR_U2_MAIN,DO,,4,0,0.00:0.00;0.00:0.00,,
PBR_U3_MAIN,DO,,4,1,0.00:0.00;0.00:0.00,,
PBR_U1_COLLIN,DO,,4,2,0.00:0.00;0.00:0.00,,
PBR_U1_COLLOUT,DO,,4,3,0.00:0.00;0.00:0.00,,
